[MASTER] 14:42:36.404 [pool-2-thread-1] WARN  TestSuiteSerialization - Cannot load tests because file does not exist: /home/rickecr/Documentos/fulano-de-sal/.evosuite/evosuite-seeds/br.com.marmitaria.rest.controller.AdministradorController.seed
[MASTER] 14:42:39.141 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<java.lang.Object> canUseFunctionalMocks=false, canBeMocked: false
[MASTER] 14:42:39.388 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.function.UnaryOperator<java.util.Optional<java.lang.Integer>> canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 14:42:39.534 [pool-2-thread-1] WARN  TestFactory - Bounded variable issue when calling createVariable()
[MASTER] 14:42:39.534 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No objects and generators for type class br.com.marmitaria.persistence.service.AdministradorService
[MASTER] 14:42:39.562 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<java.lang.Integer> canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 14:42:40.279 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 15, type java.util.function.Function<java.lang.Object, java.util.Optional<java.lang.String>> is not assignable to java.util.function.Function<? super java.lang.Integer, ? extends java.util.Optional<java.lang.Integer>>
[MASTER] 14:42:44.585 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 5, type java.util.function.Function<java.lang.String, org.springframework.data.util.Lazy<java.lang.String>> is not assignable to java.util.function.Function<? super java.lang.String, org.springframework.data.util.Lazy<? extends java.lang.String>>
[MASTER] 14:42:46.734 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 13, type java.util.function.Function<java.lang.Object, org.springframework.data.util.Lazy<java.sql.SQLNonTransientConnectionException>> is not assignable to java.util.function.Function<? super java.sql.SQLNonTransientConnectionException, org.springframework.data.util.Lazy<? extends java.sql.SQLNonTransientConnectionException>>
[MASTER] 14:42:48.177 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.springframework.util.function.SingletonSupplier due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:42:48.780 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLDataException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransientException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
